Comment,Designator,Footprint,LCSC
100n,C7,C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT,
470R,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
100p,C1,C_Disc_D3.0mm_W2.0mm_P2.50mm,
220u,C2,CP_Radial_D6.3mm_P2.50mm,
MC1372P,U1,DIP-14_W7.62mm,
680R,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
3k9,R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
10u,L1,L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2,
3k3,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
BC557,Q4,TO-92_Inline,
470R,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
1N4148,D1,D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,
BC547,Q1,TO-92_Inline,
5k6,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
BC547,Q5,TO-92_Inline,
4k7,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
330R,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
100n,C5,C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT,
75R,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
22n,C8,C_Rect_L7.0mm_W3.5mm_P5.00mm,
100n,C4,C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT,
10k,R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
22n,C3,C_Rect_L7.0mm_W3.5mm_P5.00mm,
BC557,Q2,TO-92_Inline,
20261043,J1,PinHeader_1x05_P2.54mm_Vertical,
470R,R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
1u,C6,C_Rect_L7.0mm_W4.5mm_P5.00mm,
Video,J3,Connector_Mini-DIN_Female_6Pin_2rows,
220R,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
to PCB,J2,PinHeader_1x03_P2.54mm_Vertical,
BC547,Q3,TO-92_Inline,
75R,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
680R,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
75R,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
220R,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
680R,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
